energy,attenlength
24715.0,500.02500166673667
25059.0,500.02500166673667
25408.0,500.02500166673667
25763.0,450.0202512152545
26122.0,450.0202512152545
26486.0,450.0202512152545
26855.0,400.01600085322946
27229.0,400.01600085322946
27609.0,400.01600085322946
27994.0,350.01225057176913
28384.0,350.01225057176913
28780.0,350.01225057176913
29181.0,300.0090003597611
29588.0,300.0090003597611
30000.0,300.0090003597611
