energy,attenlength
1810.93,786206.79
1823.50,772815.44
1836.15,759653.29
1848.89,746714.46
1861.72,733993.44
1874.64,721490.31
1887.64,709199.74
1900.74,697116.73
1913.93,685245.97
1927.21,673573.04
1940.58,662102.57
1954.05,650829.81
1967.61,639746.15
1981.26,628847.76
1995.01,618165.41
2008.85,607806.67
2022.79,597617.90
2036.82,587281.82
2050.96,577057.35
2065.19,566976.99
2079.52,557047.20
2093.94,547282.47
2108.47,537657.53
2123.10,528203.42
2137.83,518892.89
2152.67,509741.15
2167.61,500726.05
2182.65,491847.63
2197.79,483122.13
2213.04,474536.38
2228.39,466102.68
2243.86,457789.52
2259.43,449620.07
2275.10,441582.99
2290.89,433679.55
2306.79,425910.70
2322.79,418264.79
2338.91,410755.21
2355.14,403354.29
2371.48,396083.53
2387.93,388934.05
2404.50,381906.78
2421.19,375000.94
2437.99,368207.49
2454.90,361536.82
2471.94,354959.85
2489.09,348501.27
2506.36,342152.89
2523.75,335915.40
2541.26,329785.94
2558.89,323756.61
2576.65,317837.69
2594.53,312014.43
2612.53,306297.48
2630.66,300673.21
2648.91,295146.32
2667.29,289718.19
2685.80,284384.18
2704.43,279147.15
2723.20,273989.12
2742.09,268926.37
2761.12,263949.74
2780.28,259064.00
2799.57,254264.01
2818.99,249546.45
2838.55,244916.15
2858.25,240361.50
2878.08,235891.34
2898.05,231496.49
2918.16,227182.37
2938.41,222943.57
2958.80,218778.65
2979.33,214690.87
3000.00,210674.01
3020.82,206732.88
3041.78,202857.04
3062.88,199052.11
3084.14,195315.17
3105.53,191644.68
3127.08,188042.38
3148.78,184502.53
3170.63,181029.55
3192.63,177616.11
3214.78,174266.12
3237.09,170976.12
3259.55,167746.11
3282.17,164574.92
3304.94,161458.29
3327.87,158400.79
3350.96,155397.74
3374.21,152451.11
3397.62,149557.53
3421.20,146717.27
3444.94,143929.62
3468.84,141191.69
3492.91,138505.31
3517.15,135865.50
3541.55,133275.58
3566.12,130732.97
3590.87,128237.85
3615.78,125789.01
3640.87,123384.44
3666.13,121025.52
3691.57,118708.03
3717.19,116435.04
3742.98,114203.49
3768.95,112013.94
3795.10,109865.12
3821.43,107755.95
3847.95,105687.02
3874.65,103654.76
3901.53,101661.45
3928.61,99704.87
3955.87,97786.12
3983.31,95902.10
4010.95,94052.14
4038.78,92238.16
4066.81,90457.63
4095.02,88711.47
4123.44,86996.62
4152.05,85314.77
4180.86,83664.51
4209.87,82045.22
4239.08,80457.00
4268.49,78897.95
4298.11,77368.84
4327.93,75868.50
4357.96,74395.91
4388.20,72951.70
4418.65,71534.34
4449.31,70144.43
4480.18,68780.52
4511.27,67442.71
4542.57,66129.26
4574.09,64841.17
4605.83,63577.64
4637.78,62338.70
4669.96,61123.57
4702.37,59930.48
4735.00,58760.97
4767.85,57612.98
4800.93,56487.28
4834.24,55383.25
4867.79,54300.31
4901.56,53238.78
4935.57,52196.15
4969.82,51174.19
5004.30,50171.34
5039.03,49188.15
5073.99,48223.91
5109.20,47277.97
5144.65,46350.59
5180.34,45439.88
5216.29,44547.20
5252.48,43671.75
5288.93,42813.53
5325.63,41971.66
5362.58,41146.00
5399.79,40336.57
5437.25,39542.42
5474.98,38764.05
5512.97,37999.55
5551.22,37250.19
5589.74,36515.54
5628.52,35795.59
5667.58,35089.44
5706.90,34396.89
5746.50,33718.06
5786.38,33051.95
5826.52,32399.05
5866.95,31758.63
5907.66,31130.83
5948.65,30514.78
5989.93,29910.21
6031.49,29317.78
6073.34,28737.53
6115.48,28168.86
6157.91,27610.43
6200.64,27062.79
6243.67,26525.90
6286.99,25999.62
6330.61,25483.68
6374.54,24977.52
6418.77,24481.54
6463.31,23995.14
6508.15,23518.34
6553.31,23050.77
6598.78,22592.33
6644.57,22142.95
6690.67,21702.38
6737.09,21270.58
6783.84,20846.97
6830.91,20431.72
6878.31,20024.67
6926.04,19625.66
6974.09,19234.51
7022.48,18850.96
7071.21,18475.03
7120.27,18106.36
7169.68,17745.03
7219.43,17390.73
7269.52,17043.44
7319.96,16703.05
7370.75,16369.26
7421.89,16042.15
7473.39,15721.39
7525.25,15407.01
7577.46,15098.81
7630.04,14796.64
7682.98,14500.51
7736.29,14210.22
7789.97,13925.71
7844.02,13646.70
7898.45,13373.24
7953.25,13105.25
8008.44,12842.58
8064.00,12585.14
8119.96,12332.68
8176.30,12085.35
8233.03,11842.76
8290.16,11605.01
8347.68,11372.01
8405.60,11143.68
8463.92,10919.86
8522.65,10700.33
8581.79,10485.25
8641.34,10274.41
8701.29,10067.87
8761.67,9865.44
8822.46,9666.97
8883.68,9472.48
8945.32,9281.86
9007.39,9094.96
9069.88,8911.78
9132.82,8732.25
9196.19,8556.30
9260.00,8383.99
9324.25,8214.97
9388.95,8049.39
9454.09,7887.12
9519.69,7728.09
9585.74,7572.32
9652.25,7419.50
9719.23,7269.71
9786.67,7123.01
9854.57,6979.34
9922.95,6838.54
9991.80,6700.39
10061.10,6565.04
10130.90,6432.36
10201.20,6302.39
10272.00,6174.97
10343.30,6050.12
10415.10,5927.79
10487.30,5807.91
10560.10,5690.45
10633.40,5575.32
10707.10,5462.48
10781.40,5351.92
10856.20,5243.59
10931.60,5137.43
11007.40,5033.37
11083.80,4931.45
11160.70,4831.55
11238.20,4733.66
11316.10,4637.70
11394.60,4543.70
11473.70,4451.59
11553.30,4361.35
11633.50,4272.94
11714.20,4186.27
11795.50,4101.39
11877.30,4018.18
11959.70,3936.65
12042.70,3856.77
12126.30,3778.52
12210.40,3701.87
12295.20,3626.70
12380.50,3553.05
12466.40,3480.91
12552.90,3410.26
12640.00,3341.02
12727.70,3273.15
12816.00,3206.68
12904.90,3141.55
12994.40,3077.76
13084.60,3015.23
13175.40,2953.95
13266.80,2893.92
13358.90,2835.11
13451.60,2777.52
13544.90,2721.05
13638.90,2665.74
13733.50,2611.56
13828.80,2558.49
13924.80,2506.49
14021.40,2455.52
14118.70,2405.61
14216.60,2356.70
14315.30,2308.80
14414.60,2261.85
14514.60,2215.87
14615.30,2170.82
14716.70,2126.70
14818.90,2083.49
14921.70,2041.12
15025.20,1999.62
15129.50,1958.93
15234.50,1919.07
15340.20,1880.03
15446.60,1841.77
15553.80,1804.31
15661.70,1767.58
15770.40,1731.62
15879.80,1696.39
15990.00,1661.88
16100.90,1628.08
16212.70,1594.97
16325.10,1562.54
16438.40,1530.75
16552.50,1499.63
16667.30,1469.13
16783.00,1439.27
16899.40,1410.01
17016.70,1381.34
17134.80,1353.27
17253.70,1325.76
17373.40,1298.83
17493.90,1272.44
17615.30,1246.61
17737.50,1221.29
17860.60,1196.49
17984.50,1172.21
18109.30,1148.41
18235.00,1125.12
18361.50,1102.29
18488.90,1079.94
18617.20,1058.04
18746.40,1036.59
18876.40,1015.59
19007.40,995.01
19139.30,974.87
19272.10,955.13
19405.80,935.80
19540.50,916.87
19676.10,898.33
19812.60,880.14
19950.10,862.25
20088.50,844.72
20227.90,827.65
20368.20,810.94
20509.60,794.57
20651.90,778.55
20795.20,762.87
20939.40,747.52
21084.70,732.49
21231.00,717.78
21378.40,703.38
21526.70,689.28
21676.10,675.48
